ts,value
2019-06-23 17:00:00,545.6672222
2019-06-23 18:00:00,516.5280556
2019-06-23 19:00:00,452.80388889999995
2019-06-23 20:00:00,398.0230556
2019-06-23 21:00:00,366.8327778
2019-06-23 22:00:00,364.4113889
2019-06-23 23:00:00,361.6211111
2019-06-24 00:00:00,354.2186111
2019-06-24 01:00:00,343.2877778
2019-06-24 02:00:00,337.6719444
2019-06-24 03:00:00,336.8547222
2019-06-24 04:00:00,341.8475
2019-06-24 05:00:00,352.965
2019-06-24 06:00:00,371.0466667
2019-06-24 07:00:00,415.02416669999997
2019-06-24 08:00:00,468.2830556
2019-06-24 09:00:00,507.4613889
2019-06-24 10:00:00,528.6027778
2019-06-24 11:00:00,530.2261111
2019-06-24 12:00:00,532.9713889
2019-06-24 13:00:00,532.3802778
2019-06-24 14:00:00,525.6833333000001
2019-06-24 15:00:00,526.8341667
2019-06-24 16:00:00,527.9955556
2019-06-24 17:00:00,535.7105556
2019-06-24 18:00:00,503.15333330000004
2019-06-24 19:00:00,519.4588888999999
2019-06-24 20:00:00,420.38111110000006
2019-06-24 21:00:00,375.0475
2019-06-24 22:00:00,380.1166667
2019-06-24 23:00:00,378.8905556
2019-06-25 00:00:00,373.2805556
2019-06-25 01:00:00,357.7102778
2019-06-25 02:00:00,348.2311111
2019-06-25 03:00:00,350.1041667
2019-06-25 04:00:00,353.4366667
2019-06-25 05:00:00,368.1041667
2019-06-25 06:00:00,389.2797222
2019-06-25 07:00:00,422.6852778
2019-06-25 08:00:00,462.9247222
2019-06-25 09:00:00,488.05361110000007
2019-06-25 10:00:00,509.2572222
2019-06-25 11:00:00,522.8252778
2019-06-25 12:00:00,528.5919444
2019-06-25 13:00:00,507.5791666999999
2019-06-25 14:00:00,492.3255556
2019-06-25 15:00:00,469.8797222
2019-06-25 16:00:00,481.9694444
2019-06-25 17:00:00,484.1522222
2019-06-25 18:00:00,468.58055559999997
2019-06-25 19:00:00,426.53583330000004
2019-06-25 20:00:00,390.5652778
2019-06-25 21:00:00,360.1675
2019-06-25 22:00:00,366.50305560000004
2019-06-25 23:00:00,363.1552778
2019-06-26 00:00:00,354.5975
2019-06-26 01:00:00,341.4688889
2019-06-26 02:00:00,333.1808333
2019-06-26 03:00:00,329.6661111
2019-06-26 04:00:00,336.1097222
2019-06-26 05:00:00,350.2583333
2019-06-26 06:00:00,367.1375
2019-06-26 07:00:00,394.06
2019-06-26 08:00:00,430.90111110000004
2019-06-26 09:00:00,453.4275
2019-06-26 10:00:00,458.6675
